Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,215,93,Sorted ListRight,178.0,178,178
tree,215,93,DFS,135.0,135,135
tree,220,98,Maximum Degree Greedy,102.15,100,106
tree,220,98,Greedy Independent Cover,98.0,98,98
tree,220,98,Sorted ListLeft,114.0,114,114
tree,220,98,Sorted ListRight,182.0,182,182
tree,220,98,DFS,145.0,145,145
tree,225,98,Maximum Degree Greedy,103.18,99,109
tree,225,98,Greedy Independent Cover,98.0,98,98
tree,225,98,Sorted ListLeft,119.0,119,119
tree,225,98,Sorted ListRight,188.0,188,188
tree,225,98,DFS,153.0,153,153
tree,230,102,Maximum Degree Greedy,106.51666666666667,103,111
tree,230,102,Greedy Independent Cover,102.0,102,102
tree,230,102,Sorted ListLeft,115.0,115,115
tree,230,102,Sorted ListRight,191.0,191,191
tree,230,102,DFS,148.0,148,148
tree,235,102,Maximum Degree Greedy,105.71,104,109
tree,235,102,Greedy Independent Cover,102.0,102,102
tree,235,102,Sorted ListLeft,119.0,119,119
tree,235,102,Sorted ListRight,192.0,192,192
tree,235,102,DFS,153.0,153,153
tree,240,103,Maximum Degree Greedy,106.52666666666667,103,110
tree,240,103,Greedy Independent Cover,103.0,103,103
tree,240,103,Sorted ListLeft,114.0,114,114
tree,240,103,Sorted ListRight,196.0,196,196
tree,240,103,DFS,150.0,150,150
tree,245,102,Maximum Degree Greedy,107.41666666666667,104,112
tree,245,102,Greedy Independent Cover,102.0,102,102
tree,245,102,Sorted ListLeft,115.0,115,115
tree,245,102,Sorted ListRight,202.0,202,202
tree,245,102,DFS,149.0,149,149
tree,250,107,Maximum Degree Greedy,111.93,109,116
tree,250,107,Greedy Independent Cover,107.0,107,107
tree,250,107,Sorted ListLeft,126.0,126,126
tree,250,107,Sorted ListRight,213.0,213,213
tree,250,107,DFS,155.0,155,155
tree,255,106,Maximum Degree Greedy,108.99666666666667,106,113
tree,255,106,Greedy Independent Cover,106.0,106,106
tree,255,106,Sorted ListLeft,118.0,118,118
tree,255,106,Sorted ListRight,208.0,208,208
tree,255,106,DFS,160.0,160,160
tree,260,107,Maximum Degree Greedy,111.89333333333333,108,116
tree,260,107,Greedy Independent Cover,107.0,107,107
tree,260,107,Sorted ListLeft,128.0,128,128
tree,260,107,Sorted ListRight,218.0,218,218
tree,260,107,DFS,160.0,160,160
tree,265,118,Maximum Degree Greedy,121.53666666666666,118,125
tree,265,118,Greedy Independent Cover,118.0,118,118
tree,265,118,Sorted ListLeft,135.0,135,135
tree,265,118,Sorted ListRight,217.0,217,217
tree,265,118,DFS,174.0,174,174
tree,270,118,Maximum Degree Greedy,120.68,119,124
tree,270,118,Greedy Independent Cover,118.0,118,118
tree,270,118,Sorted ListLeft,137.0,137,137
tree,270,118,Sorted ListRight,226.0,226,226
tree,270,118,DFS,171.0,171,171
tree,275,122,Maximum Degree Greedy,127.09,123,132
tree,275,122,Greedy Independent Cover,122.0,122,122
tree,275,122,Sorted ListLeft,141.0,141,141
tree,275,122,Sorted ListRight,228.0,228,228
tree,275,122,DFS,176.0,176,176
tree,280,123,Maximum Degree Greedy,125.98,124,129
tree,280,123,Greedy Independent Cover,123.0,123,123
tree,280,123,Sorted ListLeft,141.0,141,141
tree,280,123,Sorted ListRight,230.0,230,230
tree,280,123,DFS,185.0,185,185
tree,285,122,Maximum Degree Greedy,126.19333333333333,123,130
tree,285,122,Greedy Independent Cover,122.0,122,122
tree,285,122,Sorted ListLeft,137.0,137,137
tree,285,122,Sorted ListRight,238.0,238,238
tree,285,122,DFS,178.0,178,178
tree,290,123,Maximum Degree Greedy,127.29666666666667,125,130
tree,290,123,Greedy Independent Cover,123.0,123,123
tree,290,123,Sorted ListLeft,141.0,141,141
tree,290,123,Sorted ListRight,241.0,241,241
tree,290,123,DFS,182.0,182,182
tree,295,129,Maximum Degree Greedy,135.84,132,141
tree,295,129,Greedy Independent Cover,129.0,129,129
tree,295,129,Sorted ListLeft,151.0,151,151
tree,295,129,Sorted ListRight,248.0,248,248
tree,295,129,DFS,188.0,188,188
tree,300,128,Maximum Degree Greedy,131.21666666666667,128,136
tree,300,128,Greedy Independent Cover,128.0,128,128
tree,300,128,Sorted ListLeft,145.0,145,145
tree,300,128,Sorted ListRight,242.0,242,242
tree,300,128,DFS,196.0,196,196
tree,305,131,Maximum Degree Greedy,134.61,132,138
tree,305,131,Greedy Independent Cover,131.0,131,131
tree,305,131,Sorted ListLeft,150.0,150,150
tree,305,131,Sorted ListRight,253.0,253,253
tree,305,131,DFS,195.0,195,195
