Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,265,112,Sorted ListLeft,128.16,122,133
tree,265,112,Sorted ListRight,223.55,217,230
tree,265,112,DFS,160.0,160,160
tree,270,113,Maximum Degree Greedy,118.52,115,122
tree,270,113,Greedy Independent Cover,113.0,113,113
tree,270,113,Sorted ListLeft,127.2,121,132
tree,270,113,Sorted ListRight,224.02,218,232
tree,270,113,DFS,163.0,163,163
tree,275,115,Maximum Degree Greedy,119.79,117,124
tree,275,115,Greedy Independent Cover,115.0,115,115
tree,275,115,Sorted ListLeft,131.26,125,138
tree,275,115,Sorted ListRight,229.79333333333332,223,237
tree,275,115,DFS,166.0,166,166
tree,280,119,Maximum Degree Greedy,122.73,120,126
tree,280,119,Greedy Independent Cover,119.0,119,119
tree,280,119,Sorted ListLeft,132.91333333333333,128,138
tree,280,119,Sorted ListRight,233.56666666666666,227,241
tree,280,119,DFS,169.0,169,169
tree,285,120,Maximum Degree Greedy,125.21666666666667,123,128
tree,285,120,Greedy Independent Cover,120.0,120,120
tree,285,120,Sorted ListLeft,135.01,129,141
tree,285,120,Sorted ListRight,236.93333333333334,230,244
tree,285,120,DFS,173.0,173,173
tree,290,123,Maximum Degree Greedy,127.68666666666667,126,130
tree,290,123,Greedy Independent Cover,123.0,123,123
tree,290,123,Sorted ListLeft,138.01666666666668,134,143
tree,290,123,Sorted ListRight,240.70666666666668,233,247
tree,290,123,DFS,176.0,176,176
tree,295,124,Maximum Degree Greedy,128.76666666666668,125,134
tree,295,124,Greedy Independent Cover,124.0,124,124
tree,295,124,Sorted ListLeft,140.60333333333332,135,147
tree,295,124,Sorted ListRight,244.12333333333333,236,252
tree,295,124,DFS,180.0,180,180
tree,300,131,Maximum Degree Greedy,134.03333333333333,132,138
tree,300,131,Greedy Independent Cover,131.0,131,131
tree,300,131,Sorted ListLeft,145.04666666666665,140,150
tree,300,131,Sorted ListRight,248.84,243,255
tree,300,131,DFS,183.0,183,183
tree,305,130,Maximum Degree Greedy,134.81,131,139
tree,305,130,Greedy Independent Cover,130.0,130,130
tree,305,130,Sorted ListLeft,145.68,140,150
tree,305,130,Sorted ListRight,253.23,246,261
tree,305,130,DFS,186.0,186,186
tree,310,134,Maximum Degree Greedy,139.04,136,142
tree,310,134,Greedy Independent Cover,134.0,134,134
tree,310,134,Sorted ListLeft,150.64,145,155
tree,310,134,Sorted ListRight,258.42,252,267
tree,310,134,DFS,190.0,190,190
tree,315,131,Maximum Degree Greedy,136.48333333333332,132,142
tree,315,131,Greedy Independent Cover,131.0,131,131
